Teff,Q_Y,Q_J,Q_H
5000,0.8951,0.9086,0.9162
4500,0.8873,0.9052,0.9111
4000,0.8725,0.8968,0.9131
3900,0.8705,0.8939,0.9151
3700,0.8663,0.8875,0.9170
3600,0.8642,0.8846,0.9153
3400,0.8639,0.8803,0.9076
3200,0.8745,0.8785,0.9020
3000,0.8759,0.8826,0.8985
2800,0.8725,0.8837,0.8967
2700,0.8698,0.8832,0.8965
2600,0.8682,0.8833,0.8967
2500,0.8669,0.8834,0.8979
