Teff,Q_Y,Q_J,Q_H
5000,2744.0,2154.2,2605.8
4500,2038.2,1774.4,2936.6
4000,2170.9,1773.6,3431.6
3900,2298.0,1818.9,3550.3
3700,2652.9,1954.9,3807.4
3600,2880.7,2045.7,3945.8
3400,3436.9,2272.8,4242.2
3200,4127.2,2560.4,4565.0
3000,4951.7,2908.7,4914.0
2800,5910.3,3317.7,5289.3
2700,6439.9,3544.9,5486.8
2600,7003.1,3787.3,5690.9
2500,7599.8,4044.8,5901.5
