Teff,Q_Y,Q_J,Q_H
5000,3894.8,2221.4,2463.4
4500,3315.2,1663.2,2655.7
4000,3382.2,1805.4,3371.9
3900,3473.2,1917.8,3578.0
3700,3732.8,2226.8,4053.1
3600,3901.4,2423.3,4322.1
3400,4316.1,2900.4,4922.9
3200,4834.4,3489.5,5607.6
3000,5456.1,4190.7,6376.1
2800,6181.2,5004.0,7228.5
2700,6582.6,5452.7,7686.1
2600,7009.8,5929.3,8164.7
2500,7462.9,6434.0,8664.2
