TRAPPIST1h K7V HA 1.0 1.0 10.718 100
GJ1132b M5V HA 1.0 1.0 8.666 100
LHS1140b M5V HA 1.0 1.0 9.092 100
LHS1140c M5V HA 1.0 1.0 9.092 100
HATS-6b M1V HA 1.0 1.0 11.397 100
K2-33b M3V HA 1.0 1.0 10.332 100
GJ3470b K3V HA 1.0 1.0 8.206 100
K2-137b M3V HA 1.0 1.0 11.126 100
NGTS-1b M1V HA 1.0 1.0 12.058 100
K2-22b M0V HA 1.0 1.0 12.088 100
GJ1214b M5V HA 1.0 1.0 9.094 100
K2-18b M3V HA 1.0 1.0 9.135 100
