lbd [nm]	  I=9 - HAF	  I=10 - HAF	  I=11 - HAF	  I=12 - HAF	  I=  9 - HEF	  I=10 - HEF	  I=11 - HEF	  I=12 - HEF
1270	0.679	0.623	0.478	0.302	0.777	0.771	0.703	0.657
1280	0.681	0.624	0.480	0.301	0.778	0.772	0.704	0.658
1290	0.683	0.626	0.483	0.301	0.779	0.773	0.705	0.659
1300	0.685	0.628	0.483	0.301	0.780	0.773	0.706	0.660
1310	0.687	0.629	0.483	0.300	0.781	0.774	0.707	0.661
1320	0.689	0.631	0.487	0.301	0.782	0.775	0.708	0.662
1330	0.691	0.633	0.490	0.301	0.783	0.775	0.709	0.663
1340	0.693	0.635	0.494	0.301	0.784	0.776	0.709	0.664
1350	0.695	0.638	0.498	0.302	0.785	0.777	0.710	0.665
1360	0.697	0.640	0.502	0.302	0.786	0.777	0.711	0.665
1370	0.700	0.642	0.505	0.305	0.787	0.778	0.712	0.666
1380	0.702	0.645	0.509	0.309	0.788	0.779	0.713	0.667
1390	0.704	0.648	0.512	0.313	0.789	0.779	0.714	0.668
1400	0.707	0.651	0.516	0.316	0.790	0.780	0.715	0.669
1410	0.709	0.654	0.519	0.320	0.791	0.781	0.716	0.670
1420	0.711	0.655	0.523	0.320	0.792	0.781	0.716	0.671
1430	0.713	0.657	0.526	0.321	0.792	0.782	0.717	0.671
1440	0.714	0.658	0.524	0.321	0.793	0.782	0.718	0.672
1450	0.716	0.660	0.522	0.322	0.794	0.783	0.719	0.673
1460	0.718	0.661	0.526	0.322	0.795	0.784	0.720	0.674
1470	0.720	0.664	0.529	0.325	0.796	0.784	0.721	0.675
1480	0.722	0.666	0.532	0.329	0.796	0.785	0.721	0.675
1490	0.724	0.669	0.535	0.332	0.797	0.785	0.722	0.676
1500	0.725	0.671	0.538	0.335	0.798	0.786	0.723	0.677
1510	0.727	0.673	0.541	0.338	0.799	0.786	0.724	0.678
1520	0.728	0.675	0.543	0.341	0.799	0.787	0.725	0.679
1530	0.729	0.676	0.545	0.343	0.800	0.787	0.725	0.679
1540	0.730	0.678	0.546	0.345	0.801	0.788	0.726	0.680
1550	0.731	0.679	0.548	0.348	0.802	0.789	0.727	0.681
1560	0.732	0.680	0.545	0.350	0.802	0.789	0.728	0.681
1570	0.732	0.681	0.542	0.351	0.803	0.789	0.728	0.682
1580	0.732	0.681	0.545	0.351	0.804	0.790	0.729	0.683
1590	0.732	0.681	0.548	0.351	0.804	0.790	0.730	0.684
1600	0.732	0.681	0.550	0.352	0.805	0.791	0.731	0.684
1610	0.732	0.682	0.553	0.352	0.805	0.791	0.731	0.685
1620	0.733	0.683	0.556	0.355	0.806	0.792	0.732	0.686
1630	0.734	0.685	0.558	0.359	0.807	0.792	0.733	0.686
1640	0.735	0.686	0.561	0.362	0.807	0.793	0.733	0.687
1650	0.736	0.688	0.563	0.365	0.808	0.793	0.734	0.688
1660	0.737	0.690	0.566	0.369	0.808	0.794	0.735	0.688
1670	0.738	0.691	0.568	0.372	0.809	0.794	0.735	0.689
1680	0.739	0.692	0.571	0.375	0.809	0.794	0.736	0.689
1690	0.740	0.694	0.573	0.378	0.810	0.795	0.737	0.690
1700	0.740	0.695	0.575	0.382	0.810	0.795	0.737	0.691
1710	0.741	0.696	0.578	0.385	0.811	0.796	0.738	0.691
1720	0.741	0.696	0.574	0.384	0.811	0.796	0.739	0.692
1730	0.742	0.697	0.569	0.382	0.812	0.796	0.739	0.692
1740	0.742	0.697	0.571	0.381	0.812	0.797	0.740	0.693
1750	0.742	0.697	0.574	0.380	0.812	0.797	0.740	0.693
1760	0.742	0.697	0.576	0.379	0.813	0.797	0.741	0.694
1770	0.742	0.698	0.578	0.382	0.813	0.798	0.742	0.695
1780	0.743	0.699	0.580	0.384	0.814	0.798	0.742	0.695
1790	0.743	0.700	0.581	0.387	0.814	0.798	0.743	0.696
1800	0.744	0.700	0.583	0.390	0.814	0.799	0.743	0.696
