lbd [nm]	  I=9 - HAF	  I=10 - HAF	  I=11 - HAF	  I=12 - HAF	  I=  9 - HEF	  I=10 - HEF	  I=11 - HEF	  I=12 - HEF
980	0.578	0.520	0.382	0.232	0.740	0.747	0.672	0.625
990	0.583	0.524	0.387	0.233	0.742	0.748	0.673	0.626
1000	0.587	0.528	0.387	0.233	0.743	0.749	0.674	0.628
1010	0.591	0.531	0.387	0.234	0.745	0.750	0.676	0.629
1020	0.595	0.536	0.392	0.238	0.746	0.750	0.677	0.630
1030	0.600	0.541	0.397	0.241	0.748	0.751	0.678	0.631
1040	0.604	0.546	0.402	0.245	0.749	0.752	0.679	0.632
1050	0.608	0.550	0.407	0.249	0.750	0.753	0.680	0.634
1060	0.613	0.555	0.411	0.252	0.752	0.754	0.681	0.635
1070	0.616	0.559	0.416	0.255	0.753	0.755	0.682	0.636
1080	0.620	0.563	0.419	0.258	0.754	0.756	0.683	0.637
1090	0.624	0.567	0.422	0.260	0.756	0.757	0.685	0.638
1100	0.627	0.570	0.424	0.263	0.757	0.758	0.686	0.639
1110	0.631	0.574	0.426	0.266	0.758	0.759	0.687	0.640
1120	0.633	0.576	0.427	0.265	0.760	0.759	0.688	0.642
1130	0.636	0.579	0.428	0.265	0.761	0.760	0.689	0.643
1140	0.639	0.581	0.433	0.265	0.762	0.761	0.690	0.644
1150	0.641	0.583	0.437	0.265	0.763	0.762	0.691	0.645
1160	0.644	0.585	0.442	0.265	0.765	0.763	0.692	0.646
1170	0.647	0.589	0.446	0.269	0.766	0.764	0.693	0.647
1180	0.650	0.592	0.451	0.273	0.767	0.764	0.694	0.648
1190	0.654	0.596	0.455	0.277	0.768	0.765	0.695	0.649
1200	0.657	0.600	0.459	0.280	0.769	0.766	0.696	0.650
1210	0.660	0.604	0.464	0.284	0.770	0.767	0.697	0.651
1220	0.664	0.607	0.468	0.288	0.772	0.767	0.698	0.652
1230	0.667	0.611	0.473	0.291	0.773	0.768	0.699	0.653
1240	0.670	0.614	0.477	0.295	0.774	0.769	0.700	0.654
1250	0.674	0.618	0.481	0.298	0.775	0.770	0.701	0.655
1260	0.677	0.621	0.479	0.302	0.776	0.770	0.702	0.656
