lbd [nm]	  I=9 - HAF	  I=10 - HAF	  I=11 - HAF	  I=12 - HAF	  I=  9 - HEF	  I=10 - HEF	  I=11 - HEF	  I=12 - HEF
980	0.674969	0.596	0.451	0.342	0.806	0.786	0.782	0.717
990	0.678671	0.599	0.456	0.346	0.807	0.787	0.782	0.717
1000	0.680506	0.602	0.452	0.341	0.808	0.787	0.783	0.718
1010	0.682341	0.605	0.448	0.337	0.809	0.788	0.783	0.719
1020	0.685835	0.609	0.453	0.341	0.810	0.789	0.784	0.719
1030	0.689329	0.613	0.457	0.345	0.811	0.790	0.784	0.720
1040	0.692635	0.617	0.461	0.350	0.811	0.790	0.785	0.721
1050	0.695941	0.622	0.466	0.354	0.812	0.791	0.786	0.721
1060	0.699101	0.626	0.469	0.358	0.813	0.792	0.786	0.722
1070	0.702261	0.629	0.473	0.361	0.814	0.792	0.786	0.723
1080	0.704448	0.632	0.475	0.363	0.815	0.793	0.787	0.723
1090	0.706636	0.635	0.478	0.365	0.816	0.794	0.787	0.724
1100	0.708498	0.638	0.477	0.366	0.816	0.795	0.788	0.725
1110	0.710361	0.641	0.477	0.366	0.817	0.795	0.788	0.725
1120	0.711883	0.643	0.477	0.364	0.818	0.796	0.789	0.726
1130	0.713406	0.645	0.477	0.361	0.819	0.797	0.789	0.727
1140	0.715796	0.647	0.481	0.365	0.820	0.797	0.790	0.727
1150	0.718187	0.650	0.486	0.369	0.820	0.798	0.790	0.728
1160	0.720532	0.652	0.490	0.373	0.821	0.799	0.791	0.728
1170	0.722877	0.655	0.494	0.377	0.822	0.799	0.791	0.729
1180	0.725334	0.658	0.498	0.381	0.823	0.800	0.791	0.730
1190	0.727791	0.661	0.502	0.385	0.823	0.800	0.792	0.730
1200	0.730429	0.664	0.506	0.389	0.824	0.801	0.792	0.731
1210	0.733067	0.667	0.510	0.393	0.825	0.802	0.792	0.731
1220	0.735683	0.670	0.514	0.397	0.825	0.802	0.793	0.732
1230	0.7383	0.673	0.517	0.401	0.826	0.803	0.793	0.733
1240	0.740713	0.676	0.521	0.404	0.827	0.804	0.794	0.733
1250	0.743125	0.680	0.524	0.408	0.827	0.804	0.794	0.734
1260	0.743963	0.683	0.517	0.403	0.828	0.805	0.794	0.734
1270	0.744801	0.684	0.511	0.398	0.829	0.805	0.794	0.735
1280	0.746485	0.685	0.513	0.400	0.829	0.806	0.795	0.735
1290	0.74817	0.687	0.515	0.402	0.830	0.806	0.795	0.736
1300	0.749022	0.688	0.513	0.396	0.830	0.807	0.795	0.737
1310	0.749875	0.689	0.512	0.391	0.831	0.808	0.796	0.737
1320	0.75176	0.691	0.515	0.395	0.831	0.808	0.796	0.738
1330	0.753644	0.692	0.519	0.399	0.832	0.809	0.796	0.738
1340	0.755465	0.694	0.522	0.403	0.833	0.809	0.796	0.739
1350	0.757285	0.696	0.526	0.407	0.833	0.810	0.797	0.739
1360	0.759113	0.697	0.529	0.411	0.834	0.810	0.797	0.740
1370	0.760941	0.700	0.532	0.414	0.834	0.811	0.797	0.740
1380	0.762733	0.702	0.536	0.418	0.835	0.811	0.797	0.741
1390	0.764524	0.704	0.539	0.422	0.835	0.812	0.798	0.741
1400	0.766248	0.707	0.542	0.426	0.836	0.812	0.798	0.742
1410	0.767973	0.709	0.546	0.430	0.836	0.813	0.798	0.742
1420	0.769651	0.710	0.549	0.433	0.837	0.813	0.798	0.743
1430	0.77133	0.712	0.552	0.437	0.837	0.814	0.798	0.743
1440	0.771668	0.713	0.547	0.432	0.837	0.814	0.798	0.744
1450	0.772005	0.714	0.543	0.427	0.838	0.815	0.799	0.744
1460	0.773562	0.715	0.546	0.431	0.838	0.815	0.799	0.745
1470	0.775118	0.717	0.549	0.434	0.839	0.815	0.799	0.745
1480	0.776489	0.719	0.552	0.438	0.839	0.816	0.799	0.746
1490	0.777859	0.721	0.555	0.441	0.840	0.816	0.799	0.746
1500	0.778885	0.723	0.557	0.444	0.840	0.817	0.799	0.746
1510	0.779912	0.725	0.560	0.447	0.840	0.817	0.799	0.747
1520	0.780314	0.725	0.562	0.450	0.841	0.818	0.799	0.747
1530	0.780715	0.726	0.563	0.453	0.841	0.818	0.800	0.748
1540	0.780466	0.727	0.564	0.455	0.841	0.818	0.800	0.748
1550	0.780217	0.727	0.565	0.457	0.842	0.819	0.800	0.749
1560	0.778005	0.728	0.559	0.452	0.842	0.819	0.800	0.749
1570	0.775793	0.728	0.554	0.447	0.842	0.819	0.800	0.749
1580	0.776453	0.728	0.556	0.451	0.843	0.820	0.800	0.750
1590	0.777113	0.728	0.559	0.454	0.843	0.820	0.800	0.750
1600	0.77772	0.727	0.561	0.457	0.843	0.821	0.800	0.751
1610	0.778327	0.727	0.564	0.461	0.843	0.821	0.800	0.751
1620	0.778887	0.728	0.567	0.464	0.844	0.821	0.800	0.751
1630	0.779446	0.729	0.569	0.467	0.844	0.822	0.800	0.752
1640	0.779931	0.730	0.571	0.470	0.844	0.822	0.800	0.752
1650	0.780417	0.732	0.574	0.473	0.844	0.822	0.800	0.752
1660	0.780859	0.733	0.576	0.476	0.844	0.822	0.800	0.753
1670	0.781302	0.734	0.579	0.479	0.845	0.823	0.800	0.753
1680	0.781743	0.735	0.581	0.482	0.845	0.823	0.800	0.753
1690	0.782184	0.735	0.583	0.485	0.845	0.823	0.800	0.754
1700	0.782613	0.736	0.585	0.487	0.845	0.824	0.800	0.754
1710	0.783043	0.737	0.587	0.490	0.845	0.824	0.799	0.754
1720	0.781962	0.737	0.575	0.483	0.845	0.824	0.799	0.755
1730	0.780881	0.737	0.562	0.477	0.846	0.824	0.799	0.755
1740	0.781195	0.737	0.565	0.479	0.846	0.825	0.799	0.755
1750	0.781509	0.737	0.567	0.482	0.846	0.825	0.799	0.756
1760	0.78167	0.736	0.569	0.484	0.846	0.825	0.799	0.756
1770	0.781831	0.737	0.571	0.486	0.846	0.825	0.799	0.756
1780	0.781866	0.737	0.573	0.489	0.846	0.826	0.799	0.757
1790	0.7819	0.738	0.575	0.491	0.846	0.826	0.798	0.757
1800	0.781832	0.739	0.577	0.493	0.846	0.826	0.798	0.757
